ledger_name,source,raw_values
SaPa Learning Private Limited,TB April 25 March 26.xlsx,SaPa Learning Private Limited
"#3, Postal Colony Layout 1st Main,",TB April 25 March 26.xlsx,"#3, Postal Colony Layout 1st Main,"
Sanjaynagar,TB April 25 March 26.xlsx,Sanjaynagar
"Bangalore, Karnataka 560094",TB April 25 March 26.xlsx,"Bangalore, Karnataka 560094"
E-Mail : accounts@sapaindia.com,TB April 25 March 26.xlsx,E-Mail : accounts@sapaindia.com
1-Apr-25 to 31-Mar-26,TB April 25 March 26.xlsx,1-Apr-25 to 31-Mar-26
Opening,TB April 25 March 26.xlsx,Opening | Transactions | Closing
Balance,TB April 25 March 26.xlsx,Balance | Debit | Credit | Balance
Capital Account,TB April 25 March 26.xlsx,Capital Account | 28249309 | 28249309
Share Capital,TB April 25 March 26.xlsx,Share Capital | 108180 | 108180
Reserver & Surplus,TB April 25 March 26.xlsx,Reserver & Surplus | 4570691 | 4570691
Security Premium,TB April 25 March 26.xlsx,Security Premium | 32711820 | 32711820
Loans (Liability),TB April 25 March 26.xlsx,Loans (Liability) | 8304822 | 8304822
Director Loan,TB April 25 March 26.xlsx,Director Loan | 8304822 | 8304822
Current Liabilities,TB April 25 March 26.xlsx,Current Liabilities | 6161740.13 | 154136015.65 | 149855904.38 | 1881628.86
Duties & Taxes,TB April 25 March 26.xlsx,Duties & Taxes | 1006921.68 | 26480346.04 | 25920669.31 | 447244.95
Sundry Creditors,TB April 25 March 26.xlsx,Sundry Creditors | 2006104.33 | 39878774.97 | 38629665.53 | 756994.89
Deferred Revenue,TB April 25 March 26.xlsx,Deferred Revenue | 55236813.6 | 55236813.6
Housekeeping salary payable,TB April 25 March 26.xlsx,Housekeeping salary payable | 45500 | 272500 | 227000
Katyayani Bhat,TB April 25 March 26.xlsx,Katyayani Bhat | 3520 | 24500 | 20980
Office Rent:L Subramaniam,TB April 25 March 26.xlsx,Office Rent:L Subramaniam | 44500 | 90000 | 45500
Office Rent:Mohan Kumar,TB April 25 March 26.xlsx,Office Rent:Mohan Kumar | 15000 | 258000 | 243000
PF Employee Contribution,TB April 25 March 26.xlsx,PF Employee Contribution | 701902 | 701898 | 4
Provision for Expense,TB April 25 March 26.xlsx,Provision for Expense | 422932.12 | 4093582.04 | 3948164.94 | 277515.02
Provision for Gratuity-Short Term,TB April 25 March 26.xlsx,Provision for Gratuity-Short Term | 3304 | 396574 | 399878
Reimbursable Expenses,TB April 25 March 26.xlsx,Reimbursable Expenses | 19185 | 476933 | 457748
Reimbursable Expenses:Reim- Champarani,TB April 25 March 26.xlsx,Reimbursable Expenses:Reim- Champarani | 8201 | 8201
Reimbursable Expenses:Reim-Jyothi,TB April 25 March 26.xlsx,Reimbursable Expenses:Reim-Jyothi | 7767 | 224917 | 217150
Salary Payable,TB April 25 March 26.xlsx,Salary Payable | 2587006 | 26389546 | 23802540
Fixed Assets,TB April 25 March 26.xlsx,Fixed Assets | 3271286.36 | 993384.85 | 1709487.46 | 2555183.75
Accumulated Depreciation,TB April 25 March 26.xlsx,Accumulated Depreciation | 3225158.45 | 1709487.46 | 4934645.91
Buildings and Improvements,TB April 25 March 26.xlsx,Buildings and Improvements | 4713303 | 4713303
Computers & Laptops,TB April 25 March 26.xlsx,Computers & Laptops | 440081.56 | 845469.04 | 1285550.6
Furniture and Equipment,TB April 25 March 26.xlsx,Furniture and Equipment | 189846.61 | 189846.61
HP Wireless Printer,TB April 25 March 26.xlsx,HP Wireless Printer | 17796 | 17796
Musical Equipment's,TB April 25 March 26.xlsx,Musical Equipment's | 166289 | 64140 | 230429
Office equipment's,TB April 25 March 26.xlsx,Office equipment's | 969128.64 | 83775.81 | 1052904.45
Investments,TB April 25 March 26.xlsx,Investments | 14186377.4 | 17000000 | 3644224.55 | 27542152.85
FD - 50301026708041,TB April 25 March 26.xlsx,FD - 50301026708041 | 5000000 | 5000000
FD - 50301064830570,TB April 25 March 26.xlsx,FD - 50301064830570 | 3019651 | 945363.55 | 2074287.45
FD-50301190433442,TB April 25 March 26.xlsx,FD-50301190433442 | 3000000 | 1461579 | 1538421
FD- 50301237788675,TB April 25 March 26.xlsx,FD- 50301237788675 | 3000000 | 3000000
Fixed Deposit - 50300654504991,TB April 25 March 26.xlsx,Fixed Deposit - 50300654504991 | 1166726.4 | 1237282 | 70555.6
ICICI Prudential Mutual Fund,TB April 25 March 26.xlsx,ICICI Prudential Mutual Fund | 6000000 | 6000000
Kotak Equity Arbitrage,TB April 25 March 26.xlsx,Kotak Equity Arbitrage | 2000000 | 2000000
Mirae Asset Arbitrage Fund,TB April 25 March 26.xlsx,Mirae Asset Arbitrage Fund | 1500000 | 5000000 | 6500000
Tata Mutual Fund,TB April 25 March 26.xlsx,Tata Mutual Fund | 1500000 | 1500000
Current Assets,TB April 25 March 26.xlsx,Current Assets | 16826833.08 | 200880093.1 | 202813301.03 | 14893625.15
Opening Stock,TB April 25 March 26.xlsx,Opening Stock
Sundry Debtors,TB April 25 March 26.xlsx,Sundry Debtors | 8393740.6 | 97722017.63 | 97429931.54 | 8685826.69
Bank Accounts,TB April 25 March 26.xlsx,Bank Accounts | 3966172.6 | 96583225.29 | 98109751.38 | 2439646.51
DTA,TB April 25 March 26.xlsx,DTA | 153726.02 | 153726.02
Prepaid Expenses,TB April 25 March 26.xlsx,Prepaid Expenses | 35568.96 | 1815392.51 | 1816874.53 | 34086.94
Prepaid Insurance,TB April 25 March 26.xlsx,Prepaid Insurance | 473556.94 | 377693 | 544244.44 | 307005.5
Revenue Accrued,TB April 25 March 26.xlsx,Revenue Accrued | 362090.7 | 362090.7
TDS Receivable 2024-25,TB April 25 March 26.xlsx,TDS Receivable 2024-25 | 3363130.39 | 34316 | 3375331 | 22115.39
TDS  Receivable 2025-26,TB April 25 March 26.xlsx,TDS  Receivable 2025-26 | 2889127.4 | 2889127.4
Unbilled Revenue,TB April 25 March 26.xlsx,Unbilled Revenue | 1458321.27 | 1458321.27
Unclaimed GST,TB April 25 March 26.xlsx,Unclaimed GST | 78846.87 | 78846.87
Suspense A/c,TB April 25 March 26.xlsx,Suspense A/c | 58988 | 58988
Sales Accounts,TB April 25 March 26.xlsx,Sales Accounts | 60176012.5 | 144175974.2 | 83999961.7
B2B,TB April 25 March 26.xlsx,B2B | 37889129.14 | 93157816.11 | 55268686.97
B2C,TB April 25 March 26.xlsx,B2C | 22241133.36 | 47855176.03 | 25614042.67
Special Projects,TB April 25 March 26.xlsx,Special Projects | 45750 | 2975929.66 | 2930179.66
Special Projects Global,TB April 25 March 26.xlsx,Special Projects Global | 187052.4 | 187052.4
Direct Expenses,TB April 25 March 26.xlsx,Direct Expenses | 32874060.85 | 52500 | 32821560.85
Salaries,TB April 25 March 26.xlsx,Salaries | 7737317 | 7737317
Teacher and Consultant,TB April 25 March 26.xlsx,Teacher and Consultant | 20720715 | 20720715
Commission,TB April 25 March 26.xlsx,Commission | 499963.85 | 499963.85
Courier Charges,TB April 25 March 26.xlsx,Courier Charges | 63005 | 63005
Printing and Stationery-BOOKS,TB April 25 March 26.xlsx,Printing and Stationery-BOOKS | 3450444 | 52500 | 3397944
Special Projects Expenses,TB April 25 March 26.xlsx,Special Projects Expenses | 135916 | 135916
Workshop Fee,TB April 25 March 26.xlsx,Workshop Fee | 266700 | 266700
Indirect Incomes,TB April 25 March 26.xlsx,Indirect Incomes | 194842.8 | 194842.8
Discount Received,TB April 25 March 26.xlsx,Discount Received | 49.8 | 49.8
Interest Income,TB April 25 March 26.xlsx,Interest Income | 9344 | 9344
Interest on IT Refund,TB April 25 March 26.xlsx,Interest on IT Refund | 185449 | 185449
Indirect Expenses,TB April 25 March 26.xlsx,Indirect Expenses | 62346008.6 | 25948605.13 | 36397403.47
Employee Benefit Cost,TB April 25 March 26.xlsx,Employee Benefit Cost | 44982245.17 | 25643088 | 19339157.17
Legal & Professional Expenses,TB April 25 March 26.xlsx,Legal & Professional Expenses | 5295000 | 5295000
Marketing Expense,TB April 25 March 26.xlsx,Marketing Expense | 1128821.5 | 48988 | 1079833.5
Utility Charges,TB April 25 March 26.xlsx,Utility Charges | 275598.38 | 275598.38
Accomodation Charges,TB April 25 March 26.xlsx,Accomodation Charges | 9268.93 | 9268.93
Annual PT,TB April 25 March 26.xlsx,Annual PT | 2500 | 2500
Audit Fee,TB April 25 March 26.xlsx,Audit Fee | 75000 | 75000
Bad Debts,TB April 25 March 26.xlsx,Bad Debts | 707828.42 | 707828.42
Bank charges,TB April 25 March 26.xlsx,Bank charges | 14381.34 | 14381.34
Content Expense,TB April 25 March 26.xlsx,Content Expense | 219852.43 | 219852.43
Depreciation Expense,TB April 25 March 26.xlsx,Depreciation Expense | 1709487.46 | 1709487.46
Driver Salary,TB April 25 March 26.xlsx,Driver Salary | 86000 | 86000
DSC Registration Charges,TB April 25 March 26.xlsx,DSC Registration Charges | 4130 | 4130
