gstin,vendor_name,invoice_number,invoice_date,invoice_value,gst_rate,taxable_value,igst,cgst,sgst,purchase_ledger,name_as_per_tally
32AODPR5380K1ZP,,Billed,03/02/2026,284970.00,,,,,,,
32AODPR5380K1ZP,,Billed,31/07/2025,365800.00,,,,,,,
36AAECR8516M1ZW,Radiant Consumer Appliances Pvt Ltd,HYD8-8218,06.12.2025,195.00,18,5851.70,1053.30,0.00,0.00,,
32ABACA8568K1ZF,,ARKB2B-04,14/06/2025,11800.00,,,,,,,
32ABACA8568K1ZF,,ARKB2B-09,14/08/2025,90566.00,,,,,,,
29AAQCA9394N1ZG,,17991,9/10/2025,68114.74,,,,,,,
29AAQCA9394N1ZG,,20188,08/11/2025,70867.85,,,,,,,
29AAQCA9394N1ZG,,21770,05/12/2025,42706.89,,,,,,,
29AAQCA9394N1ZG,,24021,07/01/2026,56663.49,,,,,,,
29AAQCA9394N1ZG,,25802,06/02/2026,103235.97,,,,,,,
07ACJPL6898G1ZZ,AERIAL INFOTECH,IN-719,10.09.2025,599.00,12,534.82,64.18,0.00,0.00,,
32ELAPK5261E1ZI,,31,,118000.00,,100000.00,,,,,
32ELAPK5261E1ZI,,46,,413000.00,,350000.00,,,,,
09BVEPG3244C1ZZ,Akaay Enterprises,IN-1717,04.08.2025,299.00,18,253.39,45.61,0.00,0.00,,
24AASCA1881A1ZV,ALPINO HEALTH FOODS PRIVATE LIMITED,XHRC-122091,25.11.2025,302.00,5,287.62,14.38,0.00,0.00,,
24AASCA1881A1ZV,ALPINO HEALTH FOODS PRIVATE LIMITED,XHRC-153772,11.02.2026,302.00,5,287.62,14.38,0.00,0.00,,
09EQIPS0626E1ZQ,,AC/2025-2026/383,10-12-2025,35115.00,18,,5357.00,0.00,0.00,,
09EQIPS0626E1ZQ,,AC/2025-2026/444,06-01-2026,26168.00,18,,3992.00,0.00,0.00,,
09EQIPS0626E1ZQ,,AC/2025-2026/516,04-02-2026,31846.00,18,,4858.00,0.00,0.00,,
09EQIPS0626E1ZQ,,AC/2025-2026/316,11-11-2025,60367.00,18,,9209.00,0.00,0.00,,
33AAAFA1203H1ZE,ARAVIND,CJB1-2115,04.06.2025,255.00,18,216.10,38.90,0.00,0.00,,
27BPTPM0364J1ZE,,AC/197,,373380.00,,355600.00,,,,,
27BPTPM0364J1ZE,,AC/216,,276701.00,,263525.00,,,,,
27BPTPM0364J1ZE,,AC/222,,33338.00,,31750.00,,,,,
32AAECA5548E1Z0,,3212500003746455,,23599.51,,,,,,,
32AAECA5548E1Z0,,3212500001380887,,23599.51,,,,,,,
32AAECA5548E1Z0,,3212500002379697,,23599.51,,,,,,,
32AAECA5548E1Z0,,3212500002803523,,23599.51,,,,,,,
32AAECA5548E1Z0,,3212500003145995,,23599.51,,,,,,,
32AAECA5548E1Z0,,3212500003445710,,23599.51,,,,,,,
06ABBFB1471A1Z7,,DATE,28/08/2025,361058.25,,,,,,,
06ABBFB1471A1Z7,,DATE,28/08/2025,153284.25,,,,,,,
06ABBFB1471A1Z7,,DATE,,549990.00,,,,,,,
06ABBFB1471A1Z7,,DATE,,,,,,,,,
06ABBFB1471A1Z7,,DATE,,,,,,,,,
06ABBFB1471A1Z7,,DATE,,,,,,,,,
06ABBFB1471A1Z7,,DATE,,,,,,,,,
06ABBFB1471A1Z7,,DATE,,,,,,,,,
06ABBFB1471A1Z7,,DATE,,,,,,,,,
06ABBFB1471A1Z7,,DATE,,,,,,,,,
06ABBFB1471A1Z7,,DATE,,264741.75,,,,,,,
06ABBFB1471A1Z7,,DATE,,,,,,,,,
33AHXPT7934L1ZA,,40,26.11.2025,179550.00,2.5,,0.00,4275.00,0.00,,
33AHXPT7934L1ZA,,40,26.11.2025,727177.00,2.5,,0.00,17313.75,0.00,,
29AASCM2174Q1ZG,,42002272,11.02.2026,11800.00,18,,0.00,900.00,900.00,,
29AASCM2174Q1ZG,,42002271,11.02.2026,7994.00,18,,0.00,610.00,610.00,,
29AALCB6668H1Z2,,Dated,,8813.95,,,,,,,
32AASCM2174Q1ZT,,Invoice,19.09.2025,31329.00,,,,,,,
32AASCM2174Q1ZT,,1800000356,25.07.2025,26550.00,,,,,,,
32AASCM2174Q1ZT,,1800000497,30.09.2025,26550.00,,,,,,,
32AASCM2174Q1ZT,,1800000628,30.09.2025,17700.00,,,,,,,
32AASCM2174Q1ZT,,1800000803,28.12.2025,44250.00,,,,,,,
24AAACB0446L1ZY,,2025B24R00001324,30/11/2025,1144.31,18,969.75,174.56,0.00,0.00,,
32AAACB0446L1Z1,,2025B32R00000730,30/11/2025,428431.61,18,363077.63,0.00,32676.99,32676.99,,
32AAACB0446L1Z1,,2025832R00001204,31/08/2025,1416832.60,18,1200705.60,0.00,108063.50,108063.50,,
32AAACB0446L1Z1,,2025932R00000971,30/09/2025,402505.39,18,341106.27,0.00,30699.56,30699.56,,
32AAACB0446L1Z1,,2025A32R00000532,31/10/2025,446844.14,18,378681.48,0.00,34081.33,34081.33,,
32AAACB0446L1Z1,,2025C32R00001248,31/12/2025,15984.24,18,13545.96,0.00,1219.14,1219.14,,
08AAACB0446L1ZS,,2026108R00000445,31/01/2026,375.76,18,318.44,57.32,0.00,0.00,,
24AAACB0446L1ZY,,2026124R00003075,31/01/2026,1127.28,18,955.32,171.96,0.00,0.00,,
27AAACB0446L1ZS,,2026127R00001844,31/01/2026,1526.11,18,1293.31,232.80,0.00,0.00,,
29AAACB0446L1ZO,,2026129R00005280,31/01/2026,1134.12,18,961.12,173.00,0.00,0.00,,
32AAACB0446L1Z1,,2026132R00000336,31/01/2026,373600.28,18,316610.40,0.00,28494.94,28494.94,,
32AAACB0446L1Z1,,2026132R00000337,31/01/2026,442807.81,18,375260.85,0.00,33773.48,33773.48,,
32AAACB0446L1Z1,,2026132R00000338,31/01/2026,362787.77,18,307447.27,0.00,27670.25,27670.25,,
32AAACB0446L1Z1,,2026132R00000339,31/01/2026,297405.87,18,252038.87,0.00,22683.50,22683.50,,
32AAACB0446L1Z1,,2026132R00000340,31/01/2026,11697.29,18,9912.95,0.00,892.17,892.17,,
33AAACB0446L1ZZ,,2026133R00003775,31/01/2026,2140.51,18,1813.99,326.52,0.00,0.00,,
36AAACB0446L1ZT,,2026136R00003343,31/01/2026,375.76,18,318.44,57.32,0.00,0.00,,
37AAACB0446L1ZR,,2026137R00000789,31/01/2026,1127.28,18,955.32,171.96,0.00,0.00,,
32AAACB0446L1Z1,,2026232R00001314,28/02/2026,191866.00,18,162598.30,0.00,14633.85,14633.85,,
32AAACB0446L1Z1,,2025B32R00000729,30/11/2025,336661.12,18,285306.04,0.00,25677.54,25677.54,,
32AAACB0446L1Z1,,2025532R00000676,31/05/2025,1281328.81,18,1085871.87,0.00,97728.47,97728.47,,
32AAACB0446L1Z1,,2025732R00000379,31/07/2025,431339.35,18,365541.83,0.00,32898.76,32898.76,,
32AAACB0446L1Z1,,2025732R00000380,31/07/2025,707606.77,18,599666.75,0.00,53970.01,53970.01,,
32AAACB0446L1Z1,,2025532R00000983,31/05/2025,3434.50,18,2910.60,0.00,261.95,261.95,,
32AAACB0446L1Z1,,2025832R00001203,31/08/2025,672177.72,18,569642.14,0.00,51267.79,51267.79,,
32AAACB0446L1Z1,,2025932R00000972,30/09/2025,643772.09,18,545569.57,0.00,49101.26,49101.26,,
03AAACB0446L3Z0,,2025A03R00000162,31/10/2025,384.16,18,325.56,58.60,0.00,0.00,,
07AAACB0446L1ZU,,2025A07R00000676,31/10/2025,1536.64,18,1302.24,234.40,0.00,0.00,,
09AAACB0446L1ZQ,,2025A09R00000484,31/10/2025,384.16,18,325.56,58.60,0.00,0.00,,
21AAACB0446L1Z4,,2025A21R00000320,31/10/2025,384.16,18,325.56,58.60,0.00,0.00,,
24AAACB0446L1ZY,,2025A24R00004984,31/10/2025,1920.80,18,1627.80,293.00,0.00,0.00,,
27AAACB0446L1ZS,,2025A27R00017239,31/10/2025,2202.66,18,1866.66,336.00,0.00,0.00,,
32AAACB0446L1Z1,,2025A32R00000533,31/10/2025,557111.39,18,472128.29,0.00,42491.55,42491.55,,
32AAACB0446L1Z1,,2025A32R00000534,31/10/2025,77059.32,18,65304.50,0.00,5877.41,5877.41,,
32AAACB0446L1Z1,,2025A32R00000535,31/10/2025,14697.43,18,12455.45,0.00,1120.99,1120.99,,
32AAACB0446L1Z1,,2025A32R00000690,31/10/2025,8420.10,18,7135.68,0.00,642.21,642.21,,
33AAACB0446L1ZZ,,2025A33R00005162,31/10/2025,3370.72,18,2856.54,514.18,0.00,0.00,,
24AAACB0446L1ZY,,2026224R00000869,28/02/2026,134.78,18,114.22,20.56,0.00,0.00,,
32AAACB0446L1Z1,,2026232R00001315,28/02/2026,223792.36,18,189654.54,0.00,17068.91,17068.91,,
32AAACB0446L1Z1,,2025532R00000677,31/05/2025,995582.83,18,843714.27,0.00,75934.28,75934.28,,
32AAACB0446L1Z1,,2025A32R00000691,31/10/2025,2096.46,18,1776.66,0.00,159.90,159.90,,
,,2025432R00000664,30-04-2025,1146481.66,18,971594.62,0.00,87443.52,87443.52,,
,,2025432R00000665,30-04-2025,972761.81,18,824374.41,0.00,74193.70,74193.70,,
32AAACB0446L1Z1,,2025432R00000819,30/04/2025,4505.00,18,3817.80,0.00,343.60,343.60,,
29AAACB0446L1ZO,,2025A29R00005712,31/10/2025,3132.19,18,2654.40,477.79,0.00,0.00,,
36AAACB0446L1ZT,,2025A36R00002685,31/10/2025,3009.59,18,2550.50,459.09,0.00,0.00,,
37AAACB0446L1ZR,,2025A37R00001329,31/10/2025,768.32,18,651.12,117.20,0.00,0.00,,
